,Arsenal,Aston Villa,Bournemouth,Brentford,Brighton,Chelsea,Coventry,Crystal Palace,Everton,Fulham,Hull,Ipswich,Leeds,Liverpool,Man City,Man Utd,Newcastle,Nottm Forest,Sunderland,Tottenham
Arsenal,0,100,94,8,47,6,85,10,177,7,151,63,165,176,159,160,244,105,238,3
Aston Villa,100,0,122,97,137,101,16,108,78,100,106,132,88,77,68,68,170,43,167,99
Bournemouth,94,122,0,85,77,88,119,89,192,87,217,158,210,192,190,189,293,155,289,97
Brentford,8,97,85,0,44,4,83,10,175,3,155,72,166,175,159,160,247,106,240,12
Brighton,47,137,77,44,0,43,125,37,216,42,199,98,211,215,202,202,291,150,285,51
Chelsea,6,101,88,4,43,0,87,7,178,1,156,69,169,178,162,163,248,108,242,10
Coventry,85,16,119,83,125,87,0,94,91,86,101,115,91,91,77,77,174,37,170,84
Crystal Palace,10,108,89,10,37,7,94,0,186,7,162,69,176,185,169,170,255,115,249,14
Everton,177,78,192,175,216,178,91,186,0,178,108,197,61,0,31,27,119,83,120,176
Fulham,7,100,87,3,42,1,86,7,178,0,157,70,169,177,162,162,248,108,242,11
Hull,151,106,217,155,199,156,101,162,108,157,0,132,49,108,77,81,98,64,90,148
Ipswich,63,132,158,72,98,69,115,69,197,70,132,0,164,196,171,173,231,113,223,60
Leeds,165,88,210,166,211,169,91,176,61,169,49,164,0,61,32,36,82,60,78,163
Liverpool,176,77,192,175,215,178,91,185,0,177,108,196,61,0,31,27,119,82,120,175
Man City,159,68,190,159,202,162,77,169,31,162,77,171,32,31,0,4,105,58,104,158
Man Utd,160,68,189,160,202,163,77,170,27,162,81,173,36,27,4,0,108,60,106,159
Newcastle,244,170,293,247,291,248,174,255,119,248,98,231,82,119,105,108,0,142,10,241
Nottm Forest,105,43,155,106,150,108,37,115,83,108,64,113,60,82,58,60,142,0,136,102
Sunderland,238,167,289,240,285,242,170,249,120,242,90,223,78,120,104,106,10,136,0,235
Tottenham,3,99,97,12,51,10,84,14,176,11,148,60,163,175,158,159,241,102,235,0
