,Alaves,Ath Bilbao,Atl Madrid,Barcelona,Celta Vigo,Elche,Espanyol,Getafe,La Coruna,Levante,Malaga,Osasuna,Real Betis,Real Madrid,Santander,Sevilla,Sociedad,Valencia,Vallecano,Villarreal
Alaves,0,32,173,268,312,333,265,182,292,260,431,52,417,173,71,415,47,262,176,240
Ath Bilbao,32,0,198,292,303,365,289,206,275,292,457,73,437,197,44,435,49,294,201,272
Atl Madrid,173,198,0,308,294,217,303,9,320,183,259,192,248,4,210,246,214,184,4,188
Barcelona,268,292,308,0,565,261,4,315,558,185,476,218,515,312,337,514,250,185,312,153
Celta Vigo,312,303,294,565,0,506,561,292,81,476,442,364,365,289,265,364,352,477,291,477
Elche,333,365,217,261,506,0,257,216,537,86,232,316,297,221,395,296,354,84,218,119
Espanyol,265,289,303,4,561,257,0,311,554,181,472,215,511,307,334,510,247,182,307,150
Getafe,182,206,9,315,292,216,311,0,321,186,250,201,238,8,217,236,224,187,5,192
La Coruna,292,275,320,558,81,537,554,321,0,496,504,345,434,316,232,432,324,497,319,490
Levante,260,292,183,185,476,86,181,186,496,0,291,237,338,188,327,337,275,1,186,33
Malaga,431,457,259,476,442,232,472,250,504,291,0,443,96,259,466,96,471,291,255,322
Osasuna,52,73,192,218,364,316,215,201,345,237,443,0,440,193,118,438,38,238,196,212
Real Betis,417,437,248,515,365,297,511,238,434,338,96,440,0,246,437,1,461,338,244,364
Real Madrid,173,197,4,312,289,221,307,8,316,188,259,193,246,0,208,244,215,189,3,192
Santander,71,44,210,337,265,395,334,217,232,327,466,118,437,208,0,435,92,328,212,309
Sevilla,415,435,246,514,364,296,510,236,432,337,96,438,1,244,435,0,459,336,242,363
Sociedad,47,49,214,250,352,354,247,224,324,275,471,38,461,215,92,459,0,277,218,251
Valencia,262,294,184,185,477,84,182,187,497,1,291,238,338,189,328,336,277,0,187,35
Vallecano,176,201,4,312,291,218,307,5,319,186,255,196,244,3,212,242,218,187,0,191
Villarreal,240,272,188,153,477,119,150,192,490,33,322,212,364,192,309,363,251,35,191,0
