,Augsburg,Bayern Munich,Dortmund,Ein Frankfurt,Elversberg,FC Koln,Freiburg,Hamburg,Hoffenheim,Leverkusen,M'gladbach,Mainz,Paderborn,RB Leipzig,Schalke,Stuttgart,Union Berlin,Werder Bremen
Augsburg,0,34,267,157,156,254,142,366,111,255,281,166,254,218,280,83,309,340
Bayern Munich,34,0,292,185,190,284,175,378,143,284,311,196,275,218,307,117,305,356
Dortmund,267,292,0,111,159,46,242,176,168,37,52,109,55,211,17,201,268,123
Ein Frankfurt,157,185,111,0,73,98,147,249,58,98,125,19,114,185,123,91,269,207
Elversberg,156,190,159,73,0,125,83,317,53,131,148,58,180,253,165,73,340,272
FC Koln,254,284,46,98,125,0,207,223,147,9,27,88,96,239,43,180,306,170
Freiburg,142,175,242,147,83,207,0,396,98,213,229,138,260,307,248,84,398,353
Hamburg,366,378,176,249,317,223,396,0,303,214,223,259,137,186,184,332,171,56
Hoffenheim,111,143,168,58,53,147,98,303,0,149,173,59,172,211,179,33,302,264
Leverkusen,255,284,37,98,131,9,213,214,149,0,28,90,88,233,35,183,298,160
M'gladbach,281,311,52,125,148,27,229,223,173,28,0,115,107,258,39,206,320,167
Mainz,166,196,109,19,58,88,138,259,59,90,115,0,122,204,119,93,288,215
Paderborn,254,275,55,114,180,96,260,137,172,88,107,122,0,159,71,203,212,92
RB Leipzig,218,218,211,185,253,239,307,186,211,233,258,204,159,0,228,224,92,190
Schalke,280,307,17,123,165,43,248,184,179,35,39,119,71,228,0,212,284,129
Stuttgart,83,117,201,91,73,180,84,332,33,183,206,93,203,224,212,0,316,295
Union Berlin,309,305,268,269,340,306,398,171,302,298,320,288,212,92,284,316,0,202
Werder Bremen,340,356,123,207,272,170,353,56,264,160,167,215,92,190,129,295,202,0
